feature,f_test_rank,mutual_info_rank,random_forest_rank,correlation_rank,gradient_boosting_rank,avg_rank,final_rank,f_test_score,mutual_info_score,random_forest_score,correlation_score,gradient_boosting_score
sensor_476,169.0,157.0,141.0,158.0,11.0,127.2,146.0,0.06298492287258053,0.0,0.003347965656797184,0.00794905930027252,0.02170662948335179
sensor_142,117.0,24.0,170.0,141.0,186.0,127.6,147.0,0.493110983314505,0.01437685235713615,0.0026912414013834486,0.012087877805211991,2.80593146835449e-06
sensor_520,145.0,157.0,183.0,93.0,63.0,128.2,148.5,0.16082658173108122,0.0,0.00207491450352322,0.028673392432256237,0.005126421847849294
sensor_050,97.0,157.0,108.0,97.0,182.0,128.2,148.5,0.9573842946029951,0.0,0.004160828210247349,0.027147457192304346,1.5603523592211095e-05
sensor_151,122.0,157.0,146.0,113.0,105.0,128.6,150.5,0.37920168806231985,0.0,0.003135458533406023,0.02316405710085317,0.001961937268083816
sensor_496,155.0,157.0,94.0,111.0,126.0,128.6,150.5,0.11790152250655683,0.0,0.004370802233588959,0.023430559614243698,0.0009718463979776802
sensor_032,142.0,64.0,147.0,126.0,166.0,129.0,152.0,0.1668767823159446,0.006607243886723513,0.003083473952652504,0.017184639225955967,0.00013664462350808016
sensor_023,115.0,157.0,134.0,107.0,133.0,129.2,153.0,0.5283499288079937,0.0,0.003533641623454883,0.024188740444358856,0.0007619814437963605
sensor_198,56.0,157.0,154.0,146.0,134.0,129.4,154.0,2.5942962477772293,0.0,0.0030233201208221126,0.010992086809138055,0.0007285068020930409
sensor_483,133.0,77.0,95.0,179.0,164.0,129.6,155.5,0.25354238784906585,0.005119561755291713,0.0043664812123552915,0.0035674588956805444,0.00016782794612557164
sensor_073,136.0,52.0,165.0,175.0,120.0,129.6,155.5,0.22644456545975977,0.008354409581283084,0.0027193284823257245,0.0046577899039538205,0.0012744159769752098
sensor_223,162.0,157.0,136.0,123.0,78.0,131.2,157.0,0.0863937381330219,0.0,0.003481378439122043,0.01856852700355589,0.003704208899470723
sensor_184,175.0,101.0,75.0,151.0,155.0,131.4,158.0,0.041809097269221975,0.0022395282520293325,0.005011677934665342,0.009191107735204406,0.0003238661862320838
sensor_473,185.0,157.0,80.0,144.0,93.0,131.8,159.0,0.014502724426858493,0.0,0.004824443428690907,0.011577591931959898,0.0025919274283098034
sensor_545,85.0,103.0,190.0,103.0,180.0,132.2,160.0,1.4188243790416806,0.0019158982318425721,0.0016954122668657841,0.025323257853590752,2.712793091231249e-05
sensor_098,139.0,98.0,167.0,120.0,138.0,132.4,161.0,0.18644837870006495,0.002544755174121116,0.002717388246728325,0.02139926442727003,0.0006548843982837216
sensor_521,61.0,157.0,194.0,61.0,190.0,132.6,162.0,2.471003253163509,0.0,4.2065666596067285e-18,0.0427075045593669,5.748371839333082e-09
sensor_060,91.0,157.0,151.0,80.0,187.0,133.2,163.0,1.1197201251622009,0.0,0.003048450802253539,0.0346307540496592,1.96233248722375e-06
sensor_494,73.0,157.0,139.0,125.0,175.0,133.8,164.0,1.9921084480214812,0.0,0.0034362707183040312,0.01751279856541225,4.9291124471462474e-05
sensor_546,98.0,157.0,189.0,112.0,116.0,134.4,165.0,0.9488466463455287,0.0,0.0018084124509116179,0.023349510937601518,0.0014145567466079994
sensor_487,161.0,157.0,171.0,163.0,24.0,135.2,166.0,0.09016867464788636,0.0,0.002674748097991579,0.0072673220369619505,0.01215724712510194
sensor_337,38.0,157.0,187.0,173.0,127.0,136.4,167.0,4.24208578828278,0.0,0.00195378880748502,0.005194391076838105,0.000911032613197351
sensor_491,170.0,118.0,188.0,96.0,112.0,136.8,168.0,0.0591756853923165,5.075795104447778e-06,0.0019089273998452443,0.027538012180441357,0.0015881115968237147
sensor_201,95.0,157.0,133.0,132.0,169.0,137.2,169.0,1.0641840114014334,0.0,0.0035744582154807834,0.016257450003826744,0.00010169966828881967
sensor_001,118.0,157.0,159.0,104.0,149.0,137.4,170.0,0.4792639092930069,0.0,0.0028493470905869046,0.025315448846144978,0.0003922297722512817
sensor_169,179.0,157.0,150.0,187.0,15.0,137.6,171.0,0.026302793282683146,0.0,0.0030525809928547533,0.0022268076589990037,0.017578244819493116
sensor_167,188.0,108.0,193.0,154.0,46.0,137.8,172.0,0.008921723747766102,0.0011273565741463099,0.0012523172697203012,0.008509103996016301,0.008041396741139458
sensor_418,103.0,157.0,177.0,95.0,158.0,138.0,173.0,0.7925838648035508,0.0,0.002405893951563829,0.02804919944980759,0.0002767390884195528
sensor_003,168.0,37.0,192.0,142.0,153.0,138.4,174.0,0.06501082423732431,0.010803320677436057,0.001318239289383929,0.012087801874450882,0.0003330578267594014
sensor_041,192.0,5.0,149.0,161.0,193.0,140.0,175.5,0.0009561657923195539,0.02219725546453244,0.0030621186249842275,0.00751447002967439,0.0
sensor_202,135.0,157.0,155.0,108.0,145.0,140.0,175.5,0.2435266883990348,0.0,0.003000860795638871,0.02409558842916381,0.0004086728550637659
sensor_555,141.0,157.0,179.0,156.0,70.0,140.6,177.5,0.17272654891518288,0.0,0.002216193046512058,0.008204121815427998,0.004419833541784807
sensor_154,187.0,72.0,102.0,171.0,171.0,140.6,177.5,0.009671954888703233,0.005695171616702854,0.004231765612519488,0.006232381816234443,8.64379725428414e-05
sensor_442,166.0,111.0,57.0,193.0,177.0,140.8,179.0,0.06879163848716313,0.000622430229369586,0.00569986548177974,0.0011755117393856566,3.5715172238347106e-05
sensor_493,194.0,157.0,79.0,191.0,90.0,142.2,180.0,2.5567252369579948e-06,0.0,0.004900308199313289,0.0012376106490329599,0.0028840272782627505
sensor_044,180.0,157.0,137.0,130.0,128.0,146.4,181.0,0.024902415712238724,0.0,0.0034513700827593346,0.016767550413520238,0.0008192074107936362
sensor_438,148.0,96.0,174.0,180.0,135.0,146.6,182.0,0.14190720037760068,0.003032185676392185,0.0025404144533382016,0.003522078387791887,0.0006812982923893627
sensor_046,143.0,157.0,131.0,147.0,156.0,146.8,183.0,0.16138283586159377,0.0,0.0036680556916163505,0.010912212785756334,0.00032156930198647983
sensor_204,84.0,157.0,148.0,195.0,151.0,147.0,184.0,1.4512003336957278,0.0,0.003078083951161582,0.00010202480518736921,0.00034679540837369185
sensor_255,159.0,157.0,172.0,168.0,81.0,147.4,185.0,0.10278387871020316,0.0,0.0026471295413530906,0.006693713024653739,0.003382635067014848
sensor_474,172.0,83.0,185.0,189.0,121.0,150.0,186.0,0.05703129032393849,0.004393414794188644,0.002040322601293644,0.0014106031570796098,0.001199275003868621
sensor_162,178.0,157.0,178.0,121.0,119.0,150.6,187.0,0.030894268762624126,0.0,0.0023884272234754663,0.02031180637472994,0.0012781061256621057
sensor_485,183.0,62.0,138.0,183.0,189.0,151.0,188.0,0.015570089969321278,0.006713353557167956,0.003437559598614548,0.003044996928560685,1.6535897248437375e-07
sensor_018,149.0,157.0,168.0,159.0,124.0,151.4,189.0,0.14093552817040123,0.0,0.0027103912368145067,0.0077183945506835334,0.0010282720390152344
sensor_564,123.0,157.0,158.0,165.0,170.0,154.6,190.0,0.36404469944978807,0.0,0.002890219521268778,0.007012484263902568,9.885436621869873e-05
sensor_004,147.0,157.0,163.0,178.0,129.0,154.8,191.0,0.14655862717517548,0.0,0.0027995457313471227,0.0036196881506230416,0.00080616615703834
sensor_185,156.0,157.0,161.0,186.0,147.0,161.4,192.0,0.11619268642584327,0.0,0.0028229305311676086,0.002257857560122994,0.00040455892410285106
sensor_549,171.0,157.0,126.0,194.0,179.0,165.4,193.0,0.058449325557110195,0.0,0.0037685481871792526,0.0002801407535030487,2.891042613297514e-05
sensor_548,193.0,157.0,173.0,164.0,181.0,173.6,194.0,6.975392160702679e-05,0.0,0.002585324744547889,0.007026115372062355,2.0156542428442743e-05
sensor_074,165.0,157.0,195.0,160.0,193.0,174.0,195.0,0.07088752605380962,0.0,0.0,0.007527381907856012,0.0
